customer_id,customer_name,city,age,address,contact,email,kyc_status
1002,Kavya Mehta,Mumbai,33,"Mumbai, India",6860913909,Unknown,Unknown
1017,Amit Verma,Bangalore,48,"Bangalore, India",0,Unknown,Verified
1020,Riya Gupta,Pune,0,"Pune, India",9528820018,Unknown,Rejected
1026,Kunal Patel,Delhi,44,"Delhi, India",6675136134,Unknown,Verified
1079,Anjali Kapur,Hyderabad,67,"Hyderabad, India",0,Unknown,Pending
1083,Neha Sharma,Hyderabad,56,"Hyderabad, India",9846493665,Unknown,Pending
1085,Rohit Kapur,Hyderabad,41,"Hyderabad, India",0,Unknown,Verified
1116,Rahul Iyer,Pune,31,"Pune, India",7385197837,Unknown,Rejected
1147,Arjun Mehta,Mumbai,63,"Mumbai, India",6459318627,Unknown,Verified
1148,Pooja Reddy,Chennai,32,"Chennai, India",7045080048,Unknown,Rejected
1157,Suresh Reddy,Pune,23,"Pune, India",6974232939,Unknown,Pending
1158,Kunal Verma,Mumbai,62,"Mumbai, India",9085547106,Unknown,Pending
1173,Riya Kapur,Chennai,0,"Chennai, India",6832655239,Unknown,Rejected
1177,Kavya Mehta,Pune,32,"Pune, India",6559353600,Unknown,Verified
1185,Riya Mehta,Mumbai,0,"Mumbai, India",6952354204,Unknown,Rejected
1205,Priya Patel,Mumbai,28,"Mumbai, India",8779542810,Unknown,Verified
1221,Pooja Sharma,Bangalore,53,"Bangalore, India",8910345370,Unknown,Rejected
1222,Riya Sharma,Mumbai,49,"Mumbai, India",6142284629,Unknown,Pending
1228,Rohit Sharma,Bangalore,66,"Bangalore, India",8583586505,Unknown,Unknown
1242,Unknown,Bangalore,66,"Bangalore, India",9447392742,Unknown,Pending
1247,Unknown,Hyderabad,18,"Hyderabad, India",7382881857,Unknown,Unknown
1267,Pooja Patel,Chennai,49,"Chennai, India",7553780508,Unknown,Verified
1272,Rohit Iyer,Bangalore,38,"Bangalore, India",7236056243,Unknown,Rejected
1289,Priya Patel,Pune,19,Unknown,6766947258,Unknown,Verified
1290,Arjun Kapur,Hyderabad,47,"Hyderabad, India",6451427683,Unknown,Verified
1319,Rohit Sharma,Hyderabad,56,"Hyderabad, India",9133069303,Unknown,Verified
1349,Rohit Kapur,Mumbai,28,"Mumbai, India",7621976493,Unknown,Verified
1364,Rahul Verma,Delhi,64,"Delhi, India",6384379323,Unknown,Pending
1371,Kavya Gupta,Delhi,29,"Delhi, India",9655137811,Unknown,Pending
1377,Rahul Singh,Hyderabad,39,"Hyderabad, India",9735531115,Unknown,Verified
1406,Kavya Iyer,Hyderabad,59,"Hyderabad, India",8671024098,Unknown,Unknown
1407,Rohit Kapur,Chennai,42,Unknown,7480770110,Unknown,Unknown
1432,Neha Singh,Pune,46,"Pune, India",0,Unknown,Rejected
1446,Amit Mehta,Hyderabad,50,"Hyderabad, India",9458521887,Unknown,Verified
1453,Swati Patel,Pune,28,"Pune, India",6119909824,Unknown,Verified
1480,Kunal Iyer,Chennai,49,"Chennai, India",8296047954,Unknown,Rejected
1484,Swati Singh,Chennai,0,"Chennai, India",6366635846,Unknown,Rejected
1488,Sneha Reddy,Hyderabad,18,"Hyderabad, India",9367076013,Unknown,Pending
1495,Rohit Verma,Pune,44,"Pune, India",7547660805,Unknown,Verified
1502,Rohit Sharma,Delhi,0,"Delhi, India",0,Unknown,Pending
1521,Sneha Singh,Delhi,58,"Delhi, India",6856395007,Unknown,Rejected
1525,Swati Gupta,Chennai,0,"Chennai, India",8650145392,Unknown,Verified
1527,Sneha Verma,Delhi,0,"Delhi, India",7536450440,Unknown,Rejected
1528,Sneha Gupta,Delhi,41,"Delhi, India",0,Unknown,Pending
1533,Kunal Kapur,Hyderabad,23,"Hyderabad, India",9563507733,Unknown,Unknown
1540,Sneha Sharma,Unknown,25,"Delhi, India",9591888283,Unknown,Verified
1541,Amit Sharma,Bangalore,32,"Bangalore, India",8310620177,Unknown,Rejected
1568,Rohit Reddy,Mumbai,61,"Mumbai, India",7790303032,Unknown,Pending
1577,Vikas Kapur,Bangalore,63,"Bangalore, India",8422091785,Unknown,Verified
1595,Suresh Singh,Chennai,58,"Chennai, India",6123325560,Unknown,Pending
1596,Kavya Gupta,Pune,70,"Pune, India",9348035637,Unknown,Rejected
1612,Unknown,Unknown,48,"Bangalore, India",8856927081,Unknown,Pending
1632,Amit Verma,Chennai,37,"Chennai, India",8974426531,Unknown,Rejected
1633,Unknown,Mumbai,31,Unknown,8049778670,Unknown,Rejected
1658,Arjun Sharma,Hyderabad,67,"Hyderabad, India",6545840321,Unknown,Rejected
1671,Swati Kapur,Bangalore,24,"Bangalore, India",6889257372,Unknown,Pending
1674,Kunal Kapur,Delhi,0,"Delhi, India",7048524378,Unknown,Verified
1717,Kavya Iyer,Pune,0,"Pune, India",9096162168,Unknown,Rejected
1720,Unknown,Mumbai,18,"Mumbai, India",9986295342,Unknown,Pending
1722,Riya Patel,Unknown,0,"Delhi, India",8306546828,Unknown,Pending
1751,Anjali Gupta,Mumbai,39,"Mumbai, India",8502047405,Unknown,Verified
1754,Arjun Reddy,Bangalore,0,"Bangalore, India",9076913823,Unknown,Rejected
1787,Neha Kapur,Pune,66,"Pune, India",7590927260,Unknown,Rejected
1802,Riya Patel,Unknown,46,"Hyderabad, India",6306748880,Unknown,Pending
1804,Suresh Patel,Chennai,58,"Chennai, India",6061304057,Unknown,Pending
1814,Ankit Mehta,Mumbai,36,"Mumbai, India",6643304472,Unknown,Verified
1815,Rahul Patel,Chennai,56,"Chennai, India",9118155779,Unknown,Verified
1828,Pooja Reddy,Hyderabad,58,"Hyderabad, India",6585879367,Unknown,Rejected
1849,Rahul Verma,Mumbai,20,"Mumbai, India",8481367147,Unknown,Verified
1874,Sneha Reddy,Mumbai,24,Unknown,8858277882,Unknown,Pending
1886,Neha Gupta,Pune,44,"Pune, India",9568855779,Unknown,Pending
1903,Unknown,Mumbai,0,"Mumbai, India",7733451125,Unknown,Unknown
1919,Kavya Gupta,Hyderabad,55,"Hyderabad, India",6861670394,Unknown,Pending
1938,Ankit Singh,Bangalore,47,"Bangalore, India",7723168467,Unknown,Rejected
1943,Rohit Patel,Delhi,21,"Delhi, India",8433344258,Unknown,Pending
1950,Amit Verma,Chennai,0,"Chennai, India",8542784729,Unknown,Rejected
1962,Riya Reddy,Chennai,50,"Chennai, India",7395547677,Unknown,Rejected
1965,Ankit Mehta,Hyderabad,63,"Hyderabad, India",7440792441,Unknown,Verified
1977,Rohit Singh,Mumbai,25,"Mumbai, India",7113556736,Unknown,Verified
1988,Rohit Mehta,Bangalore,38,"Bangalore, India",0,Unknown,Rejected
1990,Rahul Mehta,Bangalore,0,"Bangalore, India",6793976332,Unknown,Rejected
1993,Amit Mehta,Mumbai,52,"Mumbai, India",7258337850,Unknown,Rejected
2000,Vikas Singh,Hyderabad,26,"Hyderabad, India",8517144083,Unknown,Verified
2002,Swati Iyer,Hyderabad,28,"Hyderabad, India",6688337821,Unknown,Pending
2005,Rahul Mehta,Delhi,35,"Delhi, India",0,Unknown,Rejected
2026,Ankit Reddy,Chennai,53,"Chennai, India",8705214047,Unknown,Rejected
2027,Swati Verma,Hyderabad,0,"Hyderabad, India",8610083233,Unknown,Pending
2055,Kunal Patel,Delhi,58,"Delhi, India",9722494155,Unknown,Rejected
2058,Unknown,Hyderabad,44,"Hyderabad, India",8232455867,Unknown,Pending
2086,Rahul Reddy,Hyderabad,0,"Hyderabad, India",8304772436,Unknown,Pending
2098,Neha Gupta,Bangalore,0,Unknown,9823696228,Unknown,Verified
2122,Vikas Reddy,Mumbai,29,"Mumbai, India",8877626091,Unknown,Unknown
2123,Unknown,Unknown,39,"Chennai, India",9426710387,Unknown,Rejected
2126,Riya Reddy,Hyderabad,30,"Hyderabad, India",6997189251,Unknown,Verified
2138,Amit Iyer,Unknown,18,"Delhi, India",6891420397,Unknown,Rejected
2140,Unknown,Bangalore,47,"Bangalore, India",8758353427,Unknown,Verified
2152,Riya Patel,Chennai,50,"Chennai, India",8554987915,Unknown,Pending
2153,Swati Mehta,Hyderabad,70,"Hyderabad, India",6319864073,Unknown,Verified
2156,Arjun Reddy,Delhi,20,"Delhi, India",7657891832,Unknown,Rejected
2166,Vikas Verma,Pune,0,"Pune, India",6342711868,Unknown,Verified
2182,Pooja Iyer,Bangalore,19,"Bangalore, India",8835699908,Unknown,Rejected
2193,Riya Patel,Mumbai,25,"Mumbai, India",6170493290,Unknown,Verified
2201,Rahul Verma,Delhi,52,"Delhi, India",7338855780,Unknown,Rejected
2215,Pooja Iyer,Pune,34,Unknown,9134211627,Unknown,Pending
2231,Priya Iyer,Pune,0,"Pune, India",6437779906,Unknown,Pending
2267,Ankit Verma,Bangalore,37,"Bangalore, India",8085201651,Unknown,Verified
2282,Kavya Iyer,Chennai,0,"Chennai, India",8858684151,Unknown,Rejected
2294,Suresh Verma,Unknown,20,"Pune, India",8746645512,Unknown,Pending
2326,Rahul Mehta,Mumbai,66,"Mumbai, India",8555282848,Unknown,Rejected
2342,Sneha Gupta,Hyderabad,37,"Hyderabad, India",6742135755,Unknown,Verified
2355,Arjun Verma,Bangalore,37,Unknown,6046494367,Unknown,Verified
2357,Sneha Kapur,Mumbai,66,"Mumbai, India",7849102251,Unknown,Rejected
2373,Kunal Verma,Hyderabad,52,Unknown,9685354180,Unknown,Verified
2381,Kunal Mehta,Delhi,52,Unknown,6401396407,Unknown,Verified
2391,Pooja Kapur,Delhi,26,"Delhi, India",0,Unknown,Rejected
